"year","variable","experiment","ensemble","model","units","value"
1980,"rh","historical","r30i1p1f1","NorCPM1","g yr-1",29433917272344688
1980,"rh","historical","r30i1p1f2","CNRM-CM6-1","g yr-1",47084149290839200
1980,"rh","historical","r31i1p1f1","IPSL-CM6A-LR","g yr-1",42836212754875224
1980,"rh","historical","r32i1p1f1","IPSL-CM6A-LR","g yr-1",43390538243655272
1980,"rh","historical","r3i1p1f1","ACCESS-ESM1-5","g yr-1",57415969896439320
1980,"rh","historical","r3i1p1f1","CESM2","g yr-1",39659113399421104
1980,"rh","historical","r3i1p1f1","CESM2-WACCM","g yr-1",38791738589234152
1980,"rh","historical","r3i1p1f1","IPSL-CM6A-LR","g yr-1",42633046989134640
1980,"rh","historical","r3i1p1f1","MPI-ESM1-2-LR","g yr-1",61369780076458688
1980,"rh","historical","r3i1p1f1","NorCPM1","g yr-1",29981351592012640
1980,"rh","historical","r3i1p1f1","NorESM2-LM","g yr-1",38335911835469216
1980,"rh","historical","r3i1p1f2","CNRM-CM6-1","g yr-1",47548191751271136
1980,"rh","historical","r3i1p1f2","CNRM-ESM2-1","g yr-1",41020670999936280
1980,"rh","historical","r4i1p1f1","CESM2","g yr-1",39219678264562400
1980,"rh","historical","r4i1p1f1","IPSL-CM6A-LR","g yr-1",42633894788115432
1980,"rh","historical","r4i1p1f1","MPI-ESM1-2-LR","g yr-1",62012602140772720
1980,"rh","historical","r4i1p1f1","NorCPM1","g yr-1",29004699832173316
1980,"rh","historical","r4i1p1f2","CNRM-CM6-1","g yr-1",46933308200630032
1980,"rh","historical","r4i1p1f2","CNRM-ESM2-1","g yr-1",40870182031535584
1980,"rh","historical","r5i1p1f1","CESM2","g yr-1",38726690851180552
1980,"rh","historical","r5i1p1f1","IPSL-CM6A-LR","g yr-1",42668207230182032
1980,"rh","historical","r5i1p1f1","MPI-ESM1-2-LR","g yr-1",60462808367929592
1980,"rh","historical","r5i1p1f1","NorCPM1","g yr-1",29172109428743176
1980,"rh","historical","r5i1p1f2","CNRM-CM6-1","g yr-1",47981562982316456
1980,"rh","historical","r5i1p1f2","CNRM-ESM2-1","g yr-1",40407378311175264
1980,"rh","historical","r6i1p1f1","CESM2","g yr-1",38866766634999160
1980,"rh","historical","r6i1p1f1","IPSL-CM6A-LR","g yr-1",42325688014353304
1980,"rh","historical","r6i1p1f1","MPI-ESM1-2-LR","g yr-1",61330672572062168
1980,"rh","historical","r6i1p1f1","NorCPM1","g yr-1",29494870471375936
1980,"rh","historical","r6i1p1f2","CNRM-CM6-1","g yr-1",48346953158312976
1980,"rh","historical","r7i1p1f1","CESM2","g yr-1",38919104061335344
1980,"rh","historical","r7i1p1f1","IPSL-CM6A-LR","g yr-1",42673501280068264
1980,"rh","historical","r7i1p1f1","MPI-ESM1-2-LR","g yr-1",61973102793242744
1980,"rh","historical","r7i1p1f1","NorCPM1","g yr-1",29642378888981524
1980,"rh","historical","r7i1p1f2","CNRM-CM6-1","g yr-1",46707076788636392
1980,"rh","historical","r8i1p1f1","CESM2","g yr-1",38901738723965416
1980,"rh","historical","r8i1p1f1","IPSL-CM6A-LR","g yr-1",42276598928200608
1980,"rh","historical","r8i1p1f1","MPI-ESM1-2-LR","g yr-1",60959332936242432
1980,"rh","historical","r8i1p1f1","NorCPM1","g yr-1",29571719076123804
