"variable","model","experiment","coords","value","units"
"rh","CESM2","historical",-70,7.49403476009256e-07,"%"
"rh","CESM2","historical",-65,3.83493974832294e-05,"%"
"rh","CESM2","historical",-60,0.00693965701597526,"%"
"rh","CESM2","historical",-55,0.144933454897537,"%"
"rh","CESM2","historical",-50,0.181470167103488,"%"
"rh","CESM2","historical",-45,0.58788854435684,"%"
"rh","CESM2","historical",-40,1.00468141551068,"%"
"rh","CESM2","historical",-35,1.82890584668447,"%"
"rh","CESM2","historical",-30,2.43959231790112,"%"
"rh","CESM2","historical",-25,3.08513073941797,"%"
"rh","CESM2","historical",-20,2.64527884509914,"%"
"rh","CESM2","historical",-15,3.95806745416465,"%"
"rh","CESM2","historical",-10,8.56412315698467,"%"
"rh","CESM2","historical",-5,10.5097455420833,"%"
"rh","CESM2","historical",0,8.83471591956957,"%"
"rh","CESM2","historical",5,6.69223586272272,"%"
"rh","CESM2","historical",10,2.76706297510759,"%"
"rh","CESM2","historical",15,2.55887288130742,"%"
"rh","CESM2","historical",20,3.33572509639181,"%"
"rh","CESM2","historical",25,3.24331066238384,"%"
"rh","CESM2","historical",30,4.68802865356394,"%"
"rh","CESM2","historical",35,4.64886240620469,"%"
"rh","CESM2","historical",40,4.73410333714324,"%"
"rh","CESM2","historical",45,4.35158691121466,"%"
"rh","CESM2","historical",50,5.5479514169444,"%"
"rh","CESM2","historical",55,5.97826908429063,"%"
"rh","CESM2","historical",60,4.23317492623857,"%"
"rh","CESM2","historical",65,2.98055818425413,"%"
"rh","CESM2","historical",70,0.44505008905214,"%"
"rh","CESM2","historical",75,0.00299792694286259,"%"
"rh","CESM2","historical",80,0.000697426647004671,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,4.93378620900698e-07,"%"
"rh","CESM2","historical",-70,2.27800569986226e-06,"%"
"rh","CESM2","historical",-65,4.61375078723003e-05,"%"
"rh","CESM2","historical",-60,0.00686995227860697,"%"
"rh","CESM2","historical",-55,0.14298904873087,"%"
"rh","CESM2","historical",-50,0.181428522432359,"%"
"rh","CESM2","historical",-45,0.579363674873525,"%"
"rh","CESM2","historical",-40,1.04272049321603,"%"
"rh","CESM2","historical",-35,1.8525041279086,"%"
"rh","CESM2","historical",-30,2.59937119213773,"%"
"rh","CESM2","historical",-25,3.22236272663158,"%"
"rh","CESM2","historical",-20,2.60627739616745,"%"
"rh","CESM2","historical",-15,3.91024270375558,"%"
"rh","CESM2","historical",-10,8.56245533606162,"%"
"rh","CESM2","historical",-5,10.4834709375411,"%"
"rh","CESM2","historical",0,8.89554577267243,"%"
"rh","CESM2","historical",5,6.83203650724566,"%"
"rh","CESM2","historical",10,2.80994419351014,"%"
"rh","CESM2","historical",15,2.54537290915764,"%"
"rh","CESM2","historical",20,3.2715022006472,"%"
"rh","CESM2","historical",25,3.22583751904623,"%"
"rh","CESM2","historical",30,4.63729803305906,"%"
"rh","CESM2","historical",35,4.47690133355009,"%"
"rh","CESM2","historical",40,4.60070650737769,"%"
"rh","CESM2","historical",45,4.30682856335511,"%"
"rh","CESM2","historical",50,5.57052236604371,"%"
"rh","CESM2","historical",55,6.08902823023373,"%"
"rh","CESM2","historical",60,4.20977776409364,"%"
"rh","CESM2","historical",65,2.91103016865867,"%"
"rh","CESM2","historical",70,0.424362808643162,"%"
"rh","CESM2","historical",75,0.00262023222997836,"%"
"rh","CESM2","historical",80,0.000579869848670197,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,1.57987643209635e-08,"%"
"rh","CESM2","historical",-70,5.10347821592198e-06,"%"
"rh","CESM2","historical",-65,7.29547914468492e-05,"%"
"rh","CESM2","historical",-60,0.0069831281722871,"%"
"rh","CESM2","historical",-55,0.145852636346447,"%"
"rh","CESM2","historical",-50,0.187490876045331,"%"
"rh","CESM2","historical",-45,0.600084804273784,"%"
"rh","CESM2","historical",-40,1.05929811252471,"%"
"rh","CESM2","historical",-35,1.95050878692018,"%"
"rh","CESM2","historical",-30,2.68392818368324,"%"
"rh","CESM2","historical",-25,3.33394846691076,"%"
"rh","CESM2","historical",-20,2.63112269624125,"%"
"rh","CESM2","historical",-15,3.75340969388671,"%"
"rh","CESM2","historical",-10,8.47096699995487,"%"
"rh","CESM2","historical",-5,10.351044118139,"%"
"rh","CESM2","historical",0,8.75847447157503,"%"
"rh","CESM2","historical",5,6.73985489478209,"%"
"rh","CESM2","historical",10,2.85409086642675,"%"
"rh","CESM2","historical",15,2.61728701322337,"%"
"rh","CESM2","historical",20,3.31543169297223,"%"
"rh","CESM2","historical",25,3.2091178246308,"%"
"rh","CESM2","historical",30,4.66414707363716,"%"
"rh","CESM2","historical",35,4.5936939334544,"%"
"rh","CESM2","historical",40,4.63579766905395,"%"
"rh","CESM2","historical",45,4.40278443520328,"%"
"rh","CESM2","historical",50,5.5523423970014,"%"
"rh","CESM2","historical",55,5.88016330518032,"%"
"rh","CESM2","historical",60,4.19900015859099,"%"
"rh","CESM2","historical",65,2.97546249388263,"%"
"rh","CESM2","historical",70,0.424823052832028,"%"
"rh","CESM2","historical",75,0.00222887117745635,"%"
"rh","CESM2","historical",80,0.000583269209159421,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,3.34236660859894e-08,"%"
"rh","CESM2","historical",-70,1.74681650282682e-06,"%"
"rh","CESM2","historical",-65,4.01485750835735e-05,"%"
"rh","CESM2","historical",-60,0.00698084695975215,"%"
"rh","CESM2","historical",-55,0.14619754096535,"%"
"rh","CESM2","historical",-50,0.18626175795582,"%"
"rh","CESM2","historical",-45,0.594247391656753,"%"
"rh","CESM2","historical",-40,1.04500030687952,"%"
"rh","CESM2","historical",-35,1.85606499580429,"%"
"rh","CESM2","historical",-30,2.54841182978446,"%"
"rh","CESM2","historical",-25,3.26054098089618,"%"
"rh","CESM2","historical",-20,2.6851565215091,"%"
"rh","CESM2","historical",-15,3.94242655181134,"%"
"rh","CESM2","historical",-10,8.60678050727991,"%"
"rh","CESM2","historical",-5,10.3884407510578,"%"
"rh","CESM2","historical",0,8.76053983716203,"%"
"rh","CESM2","historical",5,6.68918135747912,"%"
"rh","CESM2","historical",10,2.79616124849943,"%"
"rh","CESM2","historical",15,2.51069735158375,"%"
"rh","CESM2","historical",20,3.25813151700414,"%"
"rh","CESM2","historical",25,3.21705508471495,"%"
"rh","CESM2","historical",30,4.62510038760926,"%"
"rh","CESM2","historical",35,4.50884794021726,"%"
"rh","CESM2","historical",40,4.69890156379656,"%"
"rh","CESM2","historical",45,4.40155247601727,"%"
"rh","CESM2","historical",50,5.49381285950122,"%"
"rh","CESM2","historical",55,5.86954137530715,"%"
"rh","CESM2","historical",60,4.30718623028552,"%"
"rh","CESM2","historical",65,3.11962380700765,"%"
"rh","CESM2","historical",70,0.47359930518325,"%"
"rh","CESM2","historical",75,0.00290370252424366,"%"
"rh","CESM2","historical",80,0.000612044731692173,"%"
"rh","CESM2-WACCM","historical",-90,0,"%"
"rh","CESM2-WACCM","historical",-85,0,"%"
"rh","CESM2-WACCM","historical",-80,0,"%"
"rh","CESM2-WACCM","historical",-75,1.39922084357573e-08,"%"
